Year,Labasan,Libertad,StaCruz,Sagana,SanIsidro,Anilao,Masaguisi,MinadeOro,Polusahi,Dayhagan,Camantigue,Cawayan,Malitbog,Orconuma,Ogbot,Labonan,Lisap,Mapang,Hagupit,Sigange,Carmundo,Tawas,Hagan,Kaligtasan,SanJose
2017,265,265,48,316,177,657.5,316,225,201.5,422,275,344,300.5,260,93,105,187,93,10,93,118,86.5,96,257,115
2018,130,150,25,171,89,100,116,100,150,380,210,254,255,72,70.5,55,12,70.5,43,56,64,30,64,130,55
2019,265,265,78,316,177,657.5,316,225,201.5,422,275,344,300.5,260,345,266,26,93,83,93,118,86.5,96,257,115
2020,265,265,48,316,177,657.5,316,225,201.5,422,275,344,300.5,260,345,266,26,93,83,93,118,86.5,96,257,115
2021,265,265,48,316,177,657.5,316,225,201.5,422,275,344,300.5,260,345,266,26,93,83,93,118,86.5,96,257,115
