Year,Labasan,Libertad,StaCruz,Sagana,SanIsidro,Anilao,Masaguisi,MinadeOro,Polusahi,Dayhagan,Camantigue,Cawayan,Malitbog,Orconuma,Ogbot,Labonan,Lisap,Mapang,Hagupit,Sigange,Carmundo,Tawas,Hagan,Kaligtasan,SanJose
2017,4.84,4.71,4.42,4.83,4.84,5.22,5.17,4.96,4.97,4.52,4.52,4.49,4.72,4.92,4.71,4.76,3.67,4.33,3.9,3.86,3.8,3.49,4.24,4.65,4.6
2018,4.28,4.3,4.05,4.38,4.31,4.54,4.43,4.44,4,4.66,4.81,4.17,4.18,4.4,4.53,4.58,3.68,3.79,3.72,3.82,3.83,3.8,3.8,4.28,4.27
2019,4.79,4.53,3.92,4.87,4.83,5.85,5.3,4.76,4.81,4.9,4.94,4.65,4.73,4.79,4.88,4.8,3.28,3.74,3.77,3.71,3.77,3.72,3.73,4.89,4.78
2020,4.77,4.62,4.25,4.85,4.82,5.71,5.4,4.89,4.86,5.14,5.05,4.71,4.81,5.01,5,4.91,3.73,3.82,3.76,3.81,3.79,3.73,3.8,4.83,4.68
2021,4.58,4.58,4.36,4.5,4.49,5.38,5.29,5.34,4.94,5.49,5.95,5.33,4.4,5.12,5.18,4.83,3.92,3.79,3.8,3.84,3.89,3.77,3.89,5.3,4.46
