,Date,Number-transactions,Output-volume(BTC),Market-price,Hash-rate,Cost-per-trans-USD,Mining-revenue-USD,Transaction-fees-BTC
0,2017-04-29 00:00:00,341319,4488916,3119179,4488916,9,3119179,256
1,2017-04-30 00:00:00,281489,3918072,2720216,3918072,10,2720216,199
2,2017-05-01 00:00:00,294786,3892124,2878278,3892124,10,2878278,228
3,2017-05-02 00:00:00,333161,4099704,3149553,4099704,10,3149553,273
4,2017-05-03 00:00:00,295149,3425069,2760373,3425069,10,2760373,247
